Abacavir ,INDICATION: Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease. ,CONTRADICTION:  Moderate to severe liver disease Previous allergic reaction to abacavir,"DOSAGE:  Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",HOWTOTAKE: It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs.,"WARNINGS: 						• Caution is advised when used in patients with history of depression or at risk for heart disease•  Avoid use with alcohol.•  Take along with other anti-HIV drugs and not alone, to prevent resistance.•  Continue other precautions to prevent spread of HIV infection.",SIDEEFFECTS: ,"PRECAUTION: •  Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing.•  Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",STORAGE: Store at room temperature (20° to 25°C). 
Abacavir Sulfate and Lamivudine ,"INDICATION: Abacavir and lamivudine is a fixed-dose combination of antiviral drugs used to treat AIDS/HIV infection, particularly in children. These drugs prevent or slow down the damage caused to the immune system and decrease the risk of developing AIDS. ",CONTRADICTION: Hypersensitivity.,DOSAGE: The recommended oral dose is one tablet daily.,"HOWTOTAKE: It comes as a tablet abacavir 600 mg (as sulfate)/lamivudine 300 mg) to take by mouth, with or without food.","WARNINGS: 						•  Caution should be exercised in patients with history of liver or kidney impairment, heart disease, diabetes or cholesterol, poor immunity, who are taking other medications, any allergy, elderly, children, during pregnancy and breastfeeding. •   It doesn’t stop the spread of infections to others; avoid sexual contact during the treatment period.","SIDEEFFECTS: 							•   Most Common :Hypersensitivity, sleeplessness, depression, headache, migraine, fatigue, uneasiness, dizziness, nausea, vomiting, diarrhea, rash, fever, abdominal pain, abnormal dreams, anxiety, cough or Inflammation of the pharynx, eye problems, enlarged lymph nodes and swollen ankles.•   Body as a Whole :Redistribution/accumulation of body fat.  •   Gastrointestinal :Mouth ulcer, sore throat. •   Metabolic :Blood sugar. •   General :Weakness. •   Blood :Anemia. •   Hypersensitivity :Hives. •   Musculoskeletal :Muscle weakness, CPK elevation, damaged skeletal muscle. •   Central Nervous System :Tingling, nerve disease, seizures. •   Respiratory :Abnormal breath sounds/wheezing. •   Skin :Hair loss, redness, Stevens-Johnson syndrome.",PRECAUTION:  Avoid excess dosage.,STORAGE: Store it at controlled room temperature (25°C).
"Abacavir Sulfate, Lamivudine and Zidovudine ","INDICATION: Abacavir Sulfate, Lamivudine, and Zidovudine is a fixed-dose combination prescribed for treating AIDS/HIV infection mainly for pregnant women to reduce the risk of mother to child transmission during pregnancy. HIV resistance is greatly reduced by this combination. ",CONTRADICTION: Hypersensitivity.,DOSAGE: The recommended oral dose is one tablet twice daily. Weight should be at least 40 Kg.,"HOWTOTAKE: It comes as a tablet which contains abacavir, lamivudine and zidovudine.(300 mg / 150 mg / 300 mg) to take by mouth, with or without food.","WARNINGS: 						•  Caution should be exercised in patients with history of kidney problems, heart disease, high blood pressure, high cholesterol, diabetes, bone marrow depression, muscle disorders, smoking, alcoholism, hepatitis B infection, breathing problem, nerve disorders, obesity, poor immunity, abdominal pain, diarrhea, nausea, vomiting, cough, sore throat, fever, fatigue, rash, any allergy, who are taking other medications, during pregnancy and breastfeeding. •  It may cause dizziness, do not drive a car or operate machinery while taking this medication. •  It should not be used in children. •  It does not stop the spread of infection to others; avoid sexual contact, sharing of needles, injection supplies.","SIDEEFFECTS: 							•   Most Common :Nausea, vomiting, headache, uneasiness, fatigue, diarrhea, fever, chills, depressive disorders, musculoskeletal pain, rash, throat infections, anxiety. •   Body as a Whole :Redistribution/accumulation of body fat.  •   Heart :Heart disease. •   Gastrointestinal :Mouth ulcer. •   Endocrine and Metabolic :Breast enlargement in males, sugar. •   Gastrointestinal :Loss of appetite, abdominal pain, indigestion, darkening of skin. •   General :Inflammation of blood cells, weakness. •   Blood :Anemia, swelling of lymph nodes, decrease in platelets.   •   Liver  - Lactic acidosis and hepatic steatosis (fatty liver), elevated bilirubin, elevated transaminases, posttreatment exacerbation of hepatitis B, jaundice (yellowing of the skin or eyes). •   Musculoskeletal :Joint pain, muscle pain, muscle weakness, symptomatic myopathy(diseases of skeletal muscle), CPK elevation,  breakdown of muscle fibers. •   Central Nervous System :Dizziness, tingling, nerve disease, seizures, sleeplessness, and other sleep disorders. •   Respiratory :Abnormal breath sounds/wheezing, difficulty in breathing. •   Skin  :Hair loss, redness, Stevens-Johnson syndrome, darkening of skin, rash, hives.",PRECAUTION:  Avoid excess dosage.,STORAGE: Store it at controlled room temperature (15° to 30°C).
Abaloparatide ,INDICATION: Abaloparatide is prescribed to treat osteoporosis in postmenopausal women who are at a high risk for fracture. It has a parathyroid hormone-related protein recommended when other drugs failed to treat osteoporosis. ,"CONTRADICTION: Abaloparatide should not be used in patients with:•  Allergy to abaloparatide •  Bone-related disease such as Paget’s disease •  High levels of calcium or alkaline phosphatase in the blood•  Cancer of bone (osteosarcoma) or in patients at increased risk of the cancer•  Hyperactivity of parathyroid glands•  Pregnancy and breastfeeding mothers, premenopausal women•  Presence of high urinary calcium levels or calcium stones in the kidney",DOSAGE: •  The recommended adult dose is 80 mcg to be given subcutaneously (just under the skin) once a day.,HOWTOTAKE: •  Abaloparatide injection comes as a solution in a prefilled pen which has to be given subcutaneously just under the skin directly into the periumbilical region (the region around the bellybutton) of the abdomen but 2 inches away from the bellybutton.•  The injection site should be rotated every day but has to be administered at the same time each day.•  The prefilled pen provides 30 doses offering a daily dose of 80 mcg of abaloparatide in a 40mcL of a sterile solution. The pen should be discarded after 30 days even if it contains some unused medication.•  The injection should not be administered either by intravenous (into the vein) or intramuscular route.,"WARNINGS: 						•  The intake of too much alcohol or heavy smoking should be avoided because this leads to a reduction in bone mineral density resulting in more possible fractures.•  The use of abaloparatide and other parathyroid hormone analogs such as teriparatide for a period of more than two years is not recommended because of the risk of developing osteosarcoma. •  The patients should be given calcium and Vitamin D supplements if their dietary intake found to be inadequate.•  It is necessary to give first few doses of abaloparatide injection at a place where the patient can sit or lie down in case of orthostatic hypotension (low blood pressure in the standing position).•  Monitoring blood or urinary calcium levels must be carried out regularly in order to detect hypercalcemia, hypercalciuria or urolithiasis which are expected to occur in patients undergoing abaloparatide therapy. ","SIDEEFFECTS: 							•  Gastrointestinal: Nausea, pain in upper abdominal area, constipation, upset stomach•  Cardiovascular: Orthostatic hypotension (sudden drop in blood pressure while standing), increase in heart rate, palpitations•  Central nervous system: Headache, dizziness, vertigo•  Genitourinary: Kidney stones, calcium loss in urine, blood in urine, pain while passing urine•  Skin: Pain, swelling or redness at the injection site•  Others: Immune-related allergic reactions, high blood calcium levels, tiredness, bone pain, increase in uric acid","PRECAUTION: •  Avoid injecting into the areas of bruised skin or red, scaly skin or in the area of scars or stretch marks.•  Before injecting, the pen it should be allowed to come to room temperature and should be discarded if visible particles are present or the solution appears cloudy.•  There is no specific antidote for abaloparatide poisoning but can be treated with appropriate measures such as discontinuation of the abaloparatide therapy hydration, and monitoring serum calcium and phosphorous levels.",INTERACTION: •  Not known.,"STORAGE: •  The unopened abaloparatide injection pen should be stored in the refrigerator between 2°C to 8°C but not in a freezer.•  After opening for first use, the injection can be stored at room temperature (20°C - 25°C) away from excess heat and moisture for a period of up to 30 days.•  Keep out of reach of the children."
Abarelix ,INDICATION: Abarelix is used to treat prostate cancer for reducing the symptoms and to increase the quality of life in patients.Abarelix affects the secretion of testosterone in the body and thereby arrests the growth of prostate cancer. ,"CONTRADICTION: Contraindicated in women, children and individuals with known hypersensitivity. ","DOSAGE: IM- The recommended dose is 100 mg on day 1, 15, 29 (week 4) and every 4 weeks thereafter.",HOWTOTAKE: It comes as a solution for injection to be administered by a healthcare provider into the buttock.,"WARNINGS: 						•  Caution should be exercised in patients with history of heart disease, including long QT syndrome, abnormal heart rhythm, liver disease, who are taking other medications, any allergy, and during breastfeeding. •  It may cause dizziness, do not drive a car or operate machinery while taking this medication. •  Monitor testosterone blood levels, prostate specific antigen (PSA), or liver function tests level regularly while taking this medication.","SIDEEFFECTS: 							•   Genitourinary :Hot flushes, pain, breast enlargement, breast pain/nipple tenderness, painful urination, urination frequency, nausea, urinary retention and urinary tract infection. •   Central Nervous System :Sleep disturbances, dizziness, syncope, headache, and fatigue. •  Heart - Hypotension, peripheral edema.•   Miscellaneous :Allergic reactions, back pain, constipation, swelling in the extremities, temporary redness of face and neck, upper respiratory tract infection and diarrhea.",PRECAUTION:  Avoid excess dosage.,STORAGE: Store the medication as directed by your physician.
Abatacept ,INDICATION: Abatacept modifies the immune system in patients with rheumatoid arthritis who were not benefited from other treatments. Abatacept blocks the activity of a type of immune cell responsible for causing damage and swelling to the joints. ,CONTRADICTION: Hypersensitivity.,"DOSAGE: Dose is based on body weight and condition of the patient.  Weight < 60 kg should receive 500 mg dose, weight 60-100 kg a 750 mg dose and weight >100 kg a 1000 mg dose. Juvenile Idiopathic Arthritis- Pediatric patients weighing less than 75 kg: receive 10 mg/kg. ","HOWTOTAKE: It is administered as an injection into the vein (intravenously), or as a solution for subcutaneous (under the skin) injection by a healthcare provider every 2 weeks for the first 3 doses and then every 4 weeks.","WARNINGS: 						•  Patient may develop with serious infections and tumor. Caution should be exercised in patients with history of lung, nerve diseases (e.g. multiple sclerosis), cancer, Human Immunodeficiency Virus (HIV), tuberculosis (TB), severe combined immunodeficiency syndrome (SCID), cut or open sore, diabetes (especially if you are checking your blood sugar level at home), during pregnancy and breastfeeding.•  Avoid vaccination while taking this medication.","SIDEEFFECTS: 							•  Serious: Infection and cancer.•  Central Nervous System : Headache and dizziness.  •  Respiratory : Upper respiratory tract infection and inflammation of nasopharynx. •  Gastrointestinal : Nausea, indigestion and severe abdominal pain. •  Skin : Rash, red or painful skin, hives. •  Miscellaneous: Cough, fever,  tiredeness,  flu-like symptoms, or warm, swelling of the eyes, face, lips, tongue, or throat, back pain, high blood pressure, indigestion, heartburn, night sweats, urinary tract infection, change in the amount of urine and pain in arms and legs. •  Side effects in children : Upper respiratory tract infection, inflammation of nasopharynx, headache, nausea, diarrhea, cough and abdominal pain. ",PRECAUTION:  Avoid excess dosage. It should not be used as a first-line drug for the treatment.,STORAGE: Normally handled and stored by healthcare providers in refrigerator. Do not freeze and keep it away from light. 
Abciximab ,INDICATION: Abciximab blocks the sticking of platelets together and protects the arteries by reducing the formation of thrombus or blood clot.It is used mainly during coronary artery procedures such as angioplasty with or without stent placement to prevent complications of the heart. ,"CONTRADICTION:  • Active bleeding • Recent bleeding due to surgery, bleeding from the digestive tract or from other sites, stroke due to a bleed • Increased risk for bleeding due to bleeding/clotting disorders, very high blood pressure, brain tumor, etc. • Allergic reaction","DOSAGE: • Before procedures on the heart like angioplasty. It is given in a dose of 0.25mg/kg into the vein 10-60 minutes before the procedure, followed by an infusion of 0.125 µg/kg/min up to a maximum of 10 µg/min for 12 hours .• Treatment of heart attack, stroke due to a blood clot",HOWTOTAKE: Injected into the vein by a healthcare provider.,"WARNINGS: 						 • Platelet counts, bleeding and clotting times should be monitored before and during treatment • May cause excess bleeding when administered with other drug with bleeding as side effects. e.g. aspirin, warfarin, t-PA (tissue plasminogen activator) which is used to break clots",SIDEEFFECTS: ,"PRECAUTION: •  As tendency to bleed is possible, using of a soft toothbrush or electric razor is advised.•  In case of overdose, call a poison control center or an emergency center for an appropriate treatment.",STORAGE: Store at 2 to 8°C.  Discard any unused portion left in the vial.
Abemaciclib ,INDICATION: Abemaciclib is used alone or with other drugs such as fulvestrant or anastrozole for treating women with advanced breast cancer or breast cancer that has spread to other parts of the body and hormone receptor-positive breast cancer. ,CONTRADICTION: Abemaciclib should not be used in patients with•  Allergy to abemaciclib•  Pregnancy and breastfeeding,"DOSAGE: Monotherapy: •  The recommended dose of abemaciclib is 200 mg twice a dayCombination therapy:•  The recommended dose of abemaciclib in combination therapy is 150 mg twice daily.•  Fulvestrant can be used in a recommended dose of 500 mg on days 1, 15, and 29 followed by once a month thereafter.The treatment with abemaciclib should be continued until the progression of the disease or any unacceptable toxicity and dose modifications are recommended while serious adverse reactions occur.The dose can be reduced by 50 mg after the occurrence of each grade of adverse reactions and the treatment with abemaciclib should be discontinued if the patient cannot tolerate 50 mg dose given twice a day.Patients with severe liver disease should receive the tablet once daily.","HOWTOTAKE: •  Abemaciclib comes as a tablet which should be taken by mouth with or without food.•  Take abemaciclib tablets around the same time every day and exactly as advised.•  Swallow abemaciclib tablets with sufficient quantity of water and do not break, chew or crush the tablet.","WARNINGS: 						•  Women of childbearing age should use effective contraceptive measures while on abemaciclib treatment and continue for at least three weeks after stopping the drug.•  Patients are advised to drink plenty of liquids and can take anti-diarrheal medicines such as loperamide during abemaciclib treatment as abemaciclib may result in severe dehydration or volume depletion.•  Reduction in white blood cells are reported during abemaciclib treatment which may lead to the occurrence of infections and patients should be treated appropriately•  Monitor complete blood cell counts before starting abemaciclib therapy and for every two weeks initially for first two months, followed by monthly once for the next two months, and later as needed.•  Liver function should be monitored by doing the liver function tests regularly for every two weeks for the first two months followed by every month for the next two months, and later as needed.•  Patients taking abemaciclib should be watched for the signs and symptoms of thrombosis and pulmonary embolism and should be treated with appropriate medical care.•  Abemaciclib may lead to infertility in men. Therefore, if men are administered, they should be advised to store their sperms in a sperm bank before starting the treatment for future purpose.","SIDEEFFECTS: 							•  Common: Nausea, vomiting, headache, low blood cell counts, stomach pain•  Gastrointestinal: Diarrhea, dry mouth, constipation, mouth ulcers, loss of appetite•  Cardiovascular: Swelling of the arms or legs, blood clots in the vein•  Blood: Decreased level of white blood cells, red blood cells, platelets •  Nervous system: Dizziness•  Respiratory: Upper respiratory infections, cough•  Skin: Rashes, itching, loss of hair•  Others: Joint pain, increased level of liver enzymes, weight loss, fever, fatigue or asthenia, high creatinine levels (which normally indicates a problem in the functioning of the kidneys)","PRECAUTION: •  Do not breastfeed while on abemaciclib therapy and for at least three weeks after the last dose of abemaciclib.•  Women of childbearing age should be tested for pregnancy and treatment with abemaciclib should be started only if the test result is negative.•  If vomiting occurs after taking abemaciclib tablets, do not take another dose but continue with the next scheduled dose.","INTERACTION: •  Avoid using grapefruit juice with abemaciclib as serious interactions may occur resulting in unwanted side effects.•  Anti-fungal drugs such as ketoconazole increase the concentration of abemaciclib when taken together and should be avoided. Drugs like itraconazole, clarithromycin, diltiazem and verapamil also increase the blood concentration of abemaciclib.•  Rifampin when taken along with abemaciclib resulting in a decreased concentration of abemaciclib resulting in low therapeutic activity.•  Abmaciclib may increase the blood level of metformin.",STORAGE: •  Store at room temperature between 20°C to 25°C.•  Protect from excess heat and moisture.•  Keep away from the reach of children.
Abiraterone Acetate   ,INDICATION: Abiraterone acetate is used along with prednisolone (corticosteroid) for treating a type of prostate cancer called metastatic castration-resistant prostate cancer (mCRPC) previously called hormone-resistant cancer.It works by blocking the effects of testosterone in the body and suppresses the cancer growth. ,CONTRADICTION: Contraindicated in pregnant women and patients with hypersensitivity.,DOSAGE: Adult- PO- The recommended dose is 1000mg once daily with prednisone 5mg twice daily.,"HOWTOTAKE: It comes as a tablet to take by mouth, on an empty stomach.","WARNINGS: 						•  Caution should be exercised in patients with history of heart disease, high blood pressure, decrease in blood potassium level, adrenal gland insufficiency, liver or kidney disease, elderly, and in children.•  Monitor liver function, adrenocortical insufficiency, regularly while taking this medication.•  Women who are pregnant or who may be pregnant should not handle ZYTIGA without protection, e.g., gloves.","SIDEEFFECTS: 							♦•  Most Common:Joint swelling, fracture, liver impairment, decrease in blood potassium level, fluid retention, muscle discomfort, hot flush, diarrhea, urinary tract infection, cough, high blood pressure, abnormal heart rhythm, urinary frequency, night time urination, indigestion and upper respiratory tract infection.",PRECAUTION:  Avoid excess dosage. ,"STORAGE: Store it at room temperature (20° to 25°C), and in an airtight container."
Abobotulinumtoxin A Injection  ,"INDICATION: Abobotulinumtoxin A Injection is a neurotoxin produced by Clostridium botulinum temporarily reduces the symptoms of cervical dystonia, a condition of overactive muscle movement resulting in tightening of the neck muscles causing neck pain and abnormal head positions. ",CONTRADICTION:  Allergy to the drug or its components Infection at the proposed site of injection,"DOSAGE:  Cervical dystonia, a condition where there is stiffening of the neck muscles that keeps the head in a twisted position.  It is used in a dose of 250 to 1000 units injected into the neck muscle every 12 weeks In cosmetic surgery to  smoothen wrinkles Other conditions like excessive sweating in the palms, excessive salivation, or spasms of lower end of the foodpipe","HOWTOTAKE: It comes as a powder which is made into a solution  for injection, and is administered by a healthcare provider.","WARNINGS: 						• • Patients with nerve or muscle problems (e.g. myasthenia gravis, Lambert-Eaton syndrome) may experience excessive weakness•  Patients with bleeding disorders may experience bleeding at the injection site•  Muscle relaxants or drugs interfering with nerve transmission can increase muscle weakness, and therefore should be avoided.•  Cannot be substituted for other botulinum toxins•  Caution is advised when used in pregnancy, breastfeeding, elderly and children",SIDEEFFECTS: ,PRECAUTION: •  Spread of toxin effects are reported away from the injection sites which involves muscle weakness and vision disturbances. It is advised to recognise the symptoms earlier and should not perform skilled tasks such as driving or operating machinery.•  People may find difficulty in breathing and it is necessary to call for a emergency help if the symptoms gets worser.•  Patients with swallowing difficulty may need a feeding tube to receive food supplements and liquids.,STORAGE: Store it in refrigerator (2-8°C). Do not freeze.
Acalabrutinib ,OVERVIEW: •  Acalabrutinib is an anti-cancer agent which was approved by the US FDA in October 2017 for treating mantle cell lymphoma (MCL).,INDICATION: Acalabrutinib is prescribed to treat a type of blood cancer called mantle cell lymphoma (MCL) in adult patients who are already treated with one chemotherapy medication.Acalabrutinib works by arresting the growth of cancer cells. ,CONTRADICTION: Acalabrutinib should not be used in in the following conditions:•  Allergy to acalabrutinib•  Pregnancy and breastfeeding•  Hepatitis B infection•  Children below 18 years of age,DOSAGE: •  The recommended dose of acalabrutinib is 100mg which should be taken twice daily.•  Dose modifications are recommended if adverse reactions of grade 3 or more occur. •  The treatment with acalabrutinib can either be stopped until side effects resolve or it can be permanently discontinued depending on the seriousness of the reaction.,HOWTOTAKE: •  Acalabrutinib comes as a capsule which should be taken by mouth either with or without food.•  Acalabrutinib capsules should be swallowed with sufficient quantity of water.•  Do not open or split or crush the contents of the capsule.•  Take acalabrutinib capsules around the same time every day and take the dose exactly as advised.,"WARNINGS: 						•  Patients taking acalabrutinib must be monitored for the signs of bleeding as acalabrutinb increases the risk of bleeding particularly in patients on anticoagulant or antiplatelet treatment.•  Acalabrutinib treatment can be stopped temporarily for three to seven days before and after surgery to avoid the risk of bleeding.•  Monitor patients for the signs of bacterial, viral or fungal infections which should be treated appropriately with adequate medical care. Patients at risk of opportunistic infections may require preventive treatment before starting acalabrutinib therapy.•  Complete blood counts should be assessed every month during acalabrutinib therapy to detect low blood counts and to treat at the earliest.•  Patients are advised to protect from sun exposure by using sunscreen and protective clothing as acalabrutinib can cause sunburn and result in other cancers such as skin cancer.•  Atrial flutter and atrial fibrillation can occur in patients on acalabrutinib therapy. These should be treated with appropriate medical care and related supportive therapy.","SIDEEFFECTS: 							•  Common: Diarrhea, headache, muscle ache, tiredness, bruising, bleeding•  Gastrointestinal: Nausea, pain in the stomach, vomiting, constipation•  Cardiovascular: Bleeding events, irregular heartbeat, atrial flutter or fibrillation•  Blood: Reduced number of red blood cells, white blood cells or platelets•  Skin: Rashes, bruises, skin cancers•  Others: Nasal bleeding, increased level of creatinine in blood, serious infections including pneumonia and reactivation of hepatitis B infection, other cancers","PRECAUTION: •  If a dose is missed for more than three hours after the scheduled time, continue with next scheduled dose and skip the missed dose.•  Do not take a double dose to make up the missed dose.•  Breastfeeding should de discontinued while on treatment with acalabrutinib and should not be resumed at least 2 weeks after the last dose of acalabrutinib.•  Patients are advised to report to the emergency center if serious reactions such as severe bleeding, serious infection or difficulty in breathing occur.","INTERACTION: •  Many drugs can result in life-threatening interactions when taken with acalabrutinib and their co-administration with acalabrutinib should be avoided. These include:•  Anti-coagulants (e.g. warfarin)•  Antifungal medicines (e.g. Itraconazole, ketoconazole, voriconazole)•  Anti-viral medicines (e.g.Ribavirin, boceprevir, telaprevir)Drugs like rifampicin reduce the blood levels of acalabrutinib, and can therefore reduce the effect of acalabrutinib.•  The co-administration of proton pump inhibitors such as omeprazole, lansoprazole, pantoprazole or antacids or antiulcer drugs like ranitidine or famotidine with acalabrutinib should be avoided as the combination reduces the concentration of acalabrutinib. A gap of a minimum of two hours should be maintained when administered with antacids. Acalabrutinib should be taken a minimum of 2 hours before drugs like ranitidine or famotidine.",STORAGE: •  Store acalabrutinib capsules at room temperature between 20°C to 25°C•  Protect from excess heat and moisture•  Keep away from the reach of children.
